epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.122,0.4035,0.90819,1,0.22891,0.00055519,0.00055519,0.00055519
2,226.203,0.2381,0.95839,1,0.11134,0.0010742,0.0010742,0.0010742
3,355.213,0.1925,0.95924,1,0.10959,0.00155653,0.00155653,0.00155653
4,565.025,0.19028,0.96568,1,0.09793,0.00150197,0.00150197,0.00150197
5,753.716,0.1543,0.96697,1,0.09049,0.00144696,0.00144696,0.00144696
6,971.314,0.1458,0.96825,1,0.09423,0.00139195,0.00139195,0.00139195
7,1145.56,0.13812,0.96568,1,0.1036,0.00133693,0.00133693,0.00133693
8,1376.01,0.13337,0.96782,1,0.08585,0.00128192,0.00128192,0.00128192
9,1606.41,0.12153,0.96868,1,0.07955,0.00122691,0.00122691,0.00122691
10,1863.05,0.11916,0.97254,1,0.08113,0.0011719,0.0011719,0.0011719
11,2045.88,0.12055,0.97512,1,0.07495,0.00111689,0.00111689,0.00111689
12,2201.41,0.11475,0.97297,1,0.07738,0.00106188,0.00106188,0.00106188
13,2353.82,0.1132,0.96611,1,0.09172,0.00100687,0.00100687,0.00100687
14,2509.32,0.1067,0.97383,1,0.07272,0.000951857,0.000951857,0.000951857
15,2686.98,0.09169,0.97426,1,0.07601,0.000896846,0.000896846,0.000896846
16,2853.86,0.09722,0.97169,1,0.07935,0.000841835,0.000841835,0.000841835
17,3006.24,0.10177,0.97297,1,0.0719,0.000786824,0.000786824,0.000786824
18,3158.72,0.10013,0.97211,1,0.07374,0.000731813,0.000731813,0.000731813
19,3261.66,0.08693,0.9704,1,0.07652,0.000676802,0.000676802,0.000676802
20,3364.51,0.09325,0.96525,1,0.09145,0.000621791,0.000621791,0.000621791
21,3467.91,0.09072,0.9734,1,0.07302,0.00056678,0.00056678,0.00056678
